全部,#genre#
安徽卫视,http://101.71.255.234:6610/zjhs/2/10002/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
安徽卫视,http://ivi.bupt.edu.cn/hls/ahhd.m3u8
安徽卫视,http://ivi.bupt.edu.cn/hls/ahtv.m3u8
天津卫视,http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/tianjin_2_hd.m3u8
天津卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226246/1.m3u8
天津卫视,http://101.71.255.234:6610/zjhs/2/10048/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
天津卫视,http://ivi.bupt.edu.cn/hls/tjhd.m3u8
天津卫视,http://ivi.bupt.edu.cn/hls/tjtv.m3u8
辽宁卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226336/1.m3u8
辽宁卫视,http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/liaoning_2_hd.m3u8
辽宁卫视,http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=018&Provider_id=&Pcontent_id=index.m3u8
辽宁卫视,http://ivi.bupt.edu.cn/hls/lnhd.m3u8
辽宁卫视,http://ivi.bupt.edu.cn/hls/lnttv.m3u8
深圳卫视,http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/shenzhen_2_hd.m3u8
深圳卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226245/1.m3u8
深圳卫视,http://101.71.255.234:6610/zjhs/2/10045/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
深圳卫视,http://ivi.bupt.edu.cn/hls/szhd.m3u8
深圳卫视,http://ivi.bupt.edu.cn/hls/sztv.m3u8
东南卫视,http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/dongnan_2_hd.m3u8
东南卫视,http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=013&Provider_id=&Pcontent_id=index.m3u8
东南卫视,http://ivi.bupt.edu.cn/hls/dnhd.m3u8
东南卫视,http://ivi.bupt.edu.cn/hls/dntv.m3u8
湖北卫视,http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/hubei_2_hd.m3u8
湖北卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226240/1.m3u8
湖北卫视,http://101.71.255.234:6610/zjhs/2/10022/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
湖北卫视,http://ivi.bupt.edu.cn/hls/hbhd.m3u8
湖北卫视,http://ivi.bupt.edu.cn/hls/hbtv.m3u8
广东卫视,http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/guangdong_2_hd.m3u8
广东卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226238/1.m3u8
广东卫视,http://101.71.255.234:6610/zjhs/2/10013/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
广东卫视,http://ivi.bupt.edu.cn/hls/gdhd.m3u8
广东卫视,http://ivi.bupt.edu.cn/hls/gdtv.m3u8
黑龙江卫视,http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/heilongjiang_2_hd.m3u8
黑龙江卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226239/1.m3u8
黑龙江卫视,http://101.71.255.234:6610/zjhs/2/10020/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
黑龙江卫视,http://ivi.bupt.edu.cn/hls/hljhd.m3u8
黑龙江卫视,http://ivi.bupt.edu.cn/hls/hljtv.m3u8
贵州卫视,http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/guizhou_2_hd.m3u8
贵州卫视,http://101.71.255.234:6610/zjhs/2/10015/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
贵州卫视,http://ivi.bupt.edu.cn/hls/gzhd.m3u8
贵州卫视,http://ivi.bupt.edu.cn/hls/gztv.m3u8
河北卫视,http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/hebei_2_hd.m3u8
河北卫视,http://101.71.255.234:6610/zjhs/2/10017/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
河北卫视,http://ivi.bupt.edu.cn/hls/hebhd.m3u8
河北卫视,http://ivi.bupt.edu.cn/hls/hebtv.m3u8
重庆卫视,http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/chongqing_2_hd.m3u8
重庆卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225949/1.m3u8
重庆卫视,http://ivi.bupt.edu.cn/hls/cqhd.m3u8
重庆卫视,http://ivi.bupt.edu.cn/hls/cqtv.m3u8
海南卫视,http://101.75.248.85/cache.ott.bestlive.itv.cmvideo.cn/000000001000/6187345409661409786/index.m3u8?channel-id=bestzb&Contentid=6187345409661409786&livemode=1&stbId=004003FF0082926475008422F157811C&userToken=22da83031e59d012e61af366ad30871e02vv&usergroup=g02020000000&version=1.0&owaccmark=6187345409661409786&owchid=bestzb&owsid=4493204831455171956&AuthInfo=LjzwTMat240syQrSHvg58Ml4CxxaKwTZHHG8q4c1T9TPW3FsZ9jhIR2EjNvId7j9G2%2fOQWdWyiTVKcr1%2fD8rRNeofDVJ%2fzML0%2bnDm4OKBL5b%2b7QtO10ThJYiqY%2bM7hGo
海南卫视,http://ivi.bupt.edu.cn/hls/lyhd.m3u8
海南卫视,http://ivi.bupt.edu.cn/hls/lytv.m3u8
河南卫视,http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/henan_2_hd.m3u8
河南卫视,http://ivi.bupt.edu.cn/hls/hnhd.m3u8
河南卫视,http://ivi.bupt.edu.cn/hls/hntv.m3u8
河南卫视,http://101.71.255.229:6610/zjhs/2/10095/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
河南卫视,http://101.75.248.85/cache.ott.bestlive.itv.cmvideo.cn/000000001000/7384596500152929578/index.m3u8?channel-id=bestzb&Contentid=7384596500152929578&livemode=1&stbId=004003FF0039657067008422F156149C&userToken=22da83031e59d012e61af366ad30871e02vv&usergroup=g02020000000&version=1.0&owaccmark=7384596500152929578&owchid=bestzb&owsid=4493204831455287542&AuthInfo=LYyxHOehAzKEGdcLASD5BI6ab9dju4daAQ6YEDsYcTfP3S9HkwVNLTqXhPZtFugJ0vobnUyo6PWMVVHvpMSH9HrTClNrC60PyT7YqVdnfl8jnuOp9bBxUoOXVpdS4%2b2v
江西卫视,http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/jiangxi_2_hd.m3u8
江西卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226243/1.m3u8
江西卫视,http://101.71.255.234:6610/zjhs/2/10029/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
江西卫视,http://ivi.bupt.edu.cn/hls/jxhd.m3u8
江西卫视,http://ivi.bupt.edu.cn/hls/jxtv.m3u8
广西卫视,http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/guangxi_2_hd.m3u8
广西卫视,http://101.75.248.85/cache.ott.bestlive.itv.cmvideo.cn/000000001000/4676357582335641620/index.m3u8?channel-id=bestzb&Contentid=4676357582335641620&livemode=1&stbId=004003FF0078831560008422F153407C&userToken=22da83031e59d012e61af366ad30871e02vv&usergroup=g02020000000&version=1.0&owaccmark=4676357582335641620&owchid=bestzb&owsid=4493204831455286928&AuthInfo=DT6BLn3LKb4UZS9P6ceMIt7Kdis7sZMo8aF%2fJJu%2faB63OeFqHPtn2swf6q8QGSx98MHcCn%2btkPDNa6hZYB8F4Yn0B9xgZaRCjoHWlvD4eSKvUl8FWk4ro8ymobBb%2fstR
广西卫视,http://ivi.bupt.edu.cn/hls/gxhd.m3u8
广西卫视,http://ivi.bupt.edu.cn/hls/gxtv.m3u8
吉林卫视,http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/jilin_2_hd.m3u8
吉林卫视,http://101.71.255.229:6610/zjhs/2/10096/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
吉林卫视,http://ivi.bupt.edu.cn/hls/jlhd.m3u8
吉林卫视,http://ivi.bupt.edu.cn/hls/jltv.m3u8
山西卫视,http://101.71.255.229:6610/zjhs/2/10041/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
山西卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225895/1.m3u8
陕西卫视,http://118.123.60.6:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=011&Provider_id=&Pcontent_id=index.m3u8
陕西卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225896/1.m3u8
山东卫视,http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/shandong_2_hd.m3u8
山东卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226244/1.m3u8
山东卫视,http://ivi.bupt.edu.cn/hls/sdhd.m3u8
山东卫视,http://ivi.bupt.edu.cn/hls/sdtv.m3u8
内蒙古卫视,http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/neimenggu_2_hd.m3u8
内蒙古卫视,http://101.71.255.229:6610/zjhs/2/10035/index.m3u8?virtualDomain=zjhs.live_hls.zte.com&tid=2KUW3F0OEDBTP8XUCK6VJDFIUZK5&ts=1550812399
宁夏卫视,http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/ningxia_2_hd.m3u8
宁夏卫视,http://101.71.255.229:6610/zjhs/2/10036/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
新疆卫视,http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/xinjiang_2_hd.m3u8http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/xinjiang_2_hd.m3u8
新疆卫视,http://101.71.255.229:6610/zjhs/2/10050/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
新疆卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225901/1.m3u8
甘肃卫视,http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/gansu_2_hd.m3u8
甘肃卫视,http://101.71.255.229:6610/zjhs/2/10011/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
甘肃卫视,http://116.199.5.52:8114/00000000/index.m3u8?&amp;Fsv_ctype=LIVES&amp;Fsv_otype=1&amp;FvSeid=5abd1660af1babb4&amp;Fsv_filetype=1&amp;Fsv_ctype=LIVES&amp;Fsv_cid=0&amp;Fsv_chan_hls_se_idx=142&amp;Fsv_rate_id=0&amp;Fsv_SV_PARAM1=0&amp;Fsv_ShiftEnable=0&amp;Fsv_ShiftTsp=0&amp;Provider_id=&amp;Pcontent_id=&amp;Fsv_CMSID=&amp;Fsv_otype=1
青海卫视,http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/qinghai_2_hd.m3u8
青海卫视,http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=016&Provider_id=&Pcontent_id=index.m3u8
西藏卫视,http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/xizang_2_hd.m3u8
西藏卫视,http://101.71.255.229:6610/zjhs/2/10049/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
西藏卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225900/1.m3u8
兵团卫视,http://101.71.255.229:6610/zjhs/2/10006/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
云南卫视,http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/yunnan_2_hd.m3u8
宁夏卫视,http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/ningxia_2_hd.m3u8
上海纪实,http://ivi.bupt.edu.cn/hls/docuchina.m3u8
金鹰纪实,http://ivi.bupt.edu.cn/hls/gedocu.m3u8
四川卫视,http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/sichuan_2_hd.m3u8
四川卫视,http://ivi.bupt.edu.cn/hls/schd.m3u8
CETV-1,http://ivi.bupt.edu.cn/hls/cetv1hd.m3u8
超级综艺,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226231/1.m3u8
超级体育,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226232/1.m3u8
超级电影,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8
炫舞未来,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226248/1.m3u8
